site_year_code,transect,point,height ,species,native_status,life_history,plant_code,stature
NUWO-2010,11.0,7.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2010,11.0,92.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2010,11.0,107.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2010,16.0,107.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2010,16.0,112.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2010,16.0,122.0,Medium,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2010,16.0,142.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2010,16.0,147.0,Medium,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2010,16.0,157.0,Medium,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,1.0,70.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,1.0,75.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,1.0,80.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,1.0,85.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,1.0,110.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,1.0,160.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,1.0,165.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,1.0,185.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,0.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,10.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,25.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,60.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,65.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,75.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,80.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,85.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,115.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,125.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,130.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,135.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,145.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,150.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,5.0,195.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,50.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,55.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,65.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,70.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,80.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,90.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,95.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,110.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,115.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,125.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,140.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,145.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,155.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,170.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,13.0,175.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,40.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,50.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,65.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,75.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,85.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,90.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,100.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,110.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,115.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,130.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,140.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,155.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,165.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,170.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,175.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,170.0,Medium,Bromus diandrus,Exotic,Annual,BRDI,Grass
NUWO-2012,9.0,180.0,Medium,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,0.0,8.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,0.0,12.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,0.0,20.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,0.0,24.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,4.0,8.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,4.0,12.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,8.0,8.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,8.0,12.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,8.0,16.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,8.0,20.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,8.0,20.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,12.0,4.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,12.0,8.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,12.0,16.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,16.0,8.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,16.0,8.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,16.0,12.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,24.0,4.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,24.0,4.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,28.0,4.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,28.0,4.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,28.0,8.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,28.0,16.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,28.0,28.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,28.0,32.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,28.0,32.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,32.0,8.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,36.0,4.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,36.0,8.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,36.0,8.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,36.0,32.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,40.0,8.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,40.0,20.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,40.0,32.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,40.0,36.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,44.0,28.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,48.0,4.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,48.0,12.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,48.0,16.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,48.0,24.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,48.0,32.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,52.0,0.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,52.0,20.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,52.0,24.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,52.0,28.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,52.0,32.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,60.0,4.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,60.0,8.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,64.0,0.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
EAPO-2011,64.0,4.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2008,9.0,14.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2008,10.0,19.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2008,11.0,16.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2008,17.0,24.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2008,19.0,24.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,1.0,1.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,1.0,2.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,1.0,3.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,4.0,7.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,8.0,3.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,8.0,5.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,10.0,9.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,10.0,11.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,10.0,12.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,11.0,7.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,11.0,10.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,11.0,13.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,11.0,15.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,11.0,17.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,12.0,21.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,12.0,22.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,12.0,23.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,12.0,24.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,12.0,25.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,13.0,21.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,13.0,22.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,13.0,23.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,15.0,21.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,15.0,23.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,15.0,25.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,16.0,15.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDU-2009,16.0,17.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,0.0,13.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,0.0,19.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,0.0,19.0,Medium,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,0.0,25.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,6.0,13.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,12.0,13.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,12.0,49.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,12.0,55.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,18.0,61.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,24.0,61.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,24.0,678.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,30.0,43.0,Medium,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,36.0,13.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,36.0,37.0,Medium,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,36.0,61.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,42.0,31.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,42.0,31.0,Medium,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,42.0,37.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,42.0,43.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,42.0,55.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,48.0,31.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,48.0,43.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,54.0,37.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2010,60.0,37.0,Low,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,7.0,36.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,14.0,50.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,21.0,50.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,21.0,71.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,28.0,15.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,28.0,57.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,28.0,64.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,35.0,15.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,35.0,15.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,35.0,36.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,35.0,57.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,42.0,43.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,42.0,57.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,42.0,57.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,49.0,1.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,49.0,15.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,49.0,15.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,49.0,57.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,49.0,57.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,56.0,1.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,56.0,1.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,56.0,15.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,56.0,36.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,56.0,57.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,63.0,29.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,63.0,29.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,63.0,36.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,63.0,36.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,63.0,43.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,70.0,36.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,70.0,43.0,L,Bromus diandrus,Exotic,Annual,BRDI,Grass
SUDO-2011,70.0,43.0,M,Bromus diandrus,Exotic,Annual,BRDI,Grass
NMS-2010,16.0,8.0,Low,BRDI litter,Exotic,Annual,BRDI,Grass
NUWO-2010,6.0,162.0,Low,BRDI litter,Exotic,Annual,BRDI,Grass
NUWO-2010,11.0,97.0,Low,BRDI litter,Exotic,Annual,BRDI,Grass
NUWO-2012,1.0,170.0,Low,Bromus hordeaceus,,,,
EAPO-2011,0.0,8.0,L,Bromus hordeaceus,,,,
EAPO-2011,0.0,12.0,L,Bromus hordeaceus,,,,
EAPO-2011,0.0,28.0,L,Bromus hordeaceus,,,,
EAPO-2011,4.0,12.0,L,Bromus hordeaceus,,,,
EAPO-2011,4.0,16.0,L,Bromus hordeaceus,,,,
EAPO-2011,8.0,16.0,L,Bromus hordeaceus,,,,
EAPO-2011,12.0,4.0,L,Bromus hordeaceus,,,,
EAPO-2011,12.0,8.0,L,Bromus hordeaceus,,,,
EAPO-2011,28.0,0.0,L,Bromus hordeaceus,,,,
EAPO-2011,36.0,4.0,L,Bromus hordeaceus,,,,
EAPO-2011,52.0,0.0,L,Bromus hordeaceus,,,,
SUDO-2012,70.0,14.0,L,Bromus hordeaceus,,,,
NUWO-2010,16.0,137.0,Medium,Brushpile,,,,
NUWO-2010,16.0,137.0,Low,Brushpile,,,,
NMS-2012,68.0,4.0,Low,Carduus pycnocephalus,Exotic,Annual,CAPY,Forb
NMS-2010,36.0,4.0,Low,Carduus pycnocephalus,Exotic,Annual,CAPY,Forb
NMS-2012,60.0,4.0,Medium,Carduus pycnocephalus,Exotic,Annual,CAPY,Forb
NMS-2012,64.0,0.0,Medium,Carduus pycnocephalus,Exotic,Annual,CAPY,Forb
EAPO-2011,32.0,8.0,L,Carduus pycnocephalus,Exotic,Annual,CAPY,Forb
EAPO-2011,32.0,8.0,M,Carduus pycnocephalus,Exotic,Annual,CAPY,Forb
EAPO-2011,36.0,4.0,L,Carduus pycnocephalus,Exotic,Annual,CAPY,Forb
NMS-2012,32.0,12.0,Low,Castilleja affinis,,,,
SUDO-2011,49.0,50.0,L,Castilleja affinis,,,,
SUDO-2011,56.0,50.0,L,Castilleja affinis,,,,
SUDO-2011,56.0,50.0,M,Castilleja affinis,,,,
SUDO-2012,35.0,56.0,M,Castilleja affinis,,,,
NMS-2012,60.0,4.0,Low,Ceanothus thrysiflorus,Native,Perennial,CETH,Shrub
NUWO-2012,13.0,0.0,Low,Ceanothus thrysiflorus,Native,Perennial,CETH,Shrub
NMS-2011,28.0,11.0,Low,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
NMS-2010,40.0,12.0,Low,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
NUWO-2010,16.0,52.0,Low,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,52.0,4.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,52.0,4.0,M,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,56.0,4.0,H,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,56.0,20.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,56.0,28.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,56.0,28.0,M,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,56.0,32.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,56.0,32.0,M,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,60.0,12.0,M,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,60.0,16.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,60.0,16.0,M,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,60.0,20.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,60.0,24.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,60.0,24.0,M,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,60.0,28.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,60.0,32.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,60.0,32.0,M,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,64.0,4.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,64.0,16.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,64.0,16.0,M,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,64.0,20.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,64.0,24.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,64.0,24.0,M,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
EAPO-2011,64.0,28.0,L,Ceanothus thyrsiflorus,Native,Perennial,CETH,Shrub
NMS-2010,8.0,0.0,Low,Cerastium glomeratum,Exotic,Annual,CEGL,Forb
NMS-2010,36.0,12.0,Low,Cerastium glomeratum,Exotic,Annual,CEGL,Forb
NMS-2010,36.0,16.0,Low,Cerastium glomeratum,Exotic,Annual,CEGL,Forb
NMS-2010,52.0,24.0,Low,Cerastium glomeratum,Exotic,Annual,CEGL,Forb
NMS-2010,80.0,24.0,Low,Cerastium glomeratum,Exotic,Annual,CEGL,Forb
NUWO-2012,9.0,135.0,Low,Cerastium glomeratum,Exotic,Annual,CEGL,Forb
SUDO-2011,28.0,15.0,L,Cerastium glomeratum,Exotic,Annual,CEGL,Forb
SUDO-2011,70.0,36.0,L,Cerastium glomeratum,Exotic,Annual,CEGL,Forb
NMS-2012,16.0,12.0,Low,Chenopodium califoricum,,,,
NMS-2012,16.0,12.0,Medium,Chenopodium califoricum,,,,
NMS-2011,4.0,15.0,Low,Cirsium occidentale,,,,
NMS-2011,24.0,23.0,Low,Claytonia perfoliata,,,,
NMS-2011,60.0,19.0,Low,Claytonia perfoliata,,,,
NMS-2011,-8.0,7.0,Low,Claytonia perfoliata,,,,
NMS-2011,40.0,19.0,Low,Claytonia perfoliata,,,,
NMS-2011,36.0,23.0,Low,Claytonia perfoliata,,,,
NMS-2011,36.0,19.0,Low,Claytonia perfoliata,,,,
NMS-2011,44.0,23.0,Low,Claytonia perfoliata,,,,
NMS-2011,48.0,23.0,Low,Claytonia perfoliata,,,,
NMS-2011,52.0,19.0,Low,Claytonia perfoliata,,,,
NMS-2011,56.0,19.0,Low,Claytonia perfoliata,,,,
NMS-2011,56.0,1.0,Low,Claytonia perfoliata,,,,
NMS-2011,56.0,7.0,Low,Claytonia perfoliata,,,,
NMS-2012,28.0,8.0,Low,Claytonia perfoliata,,,,
NMS-2012,52.0,24.0,Low,Claytonia perfoliata,,,,
NMS-2012,56.0,24.0,Low,Claytonia perfoliata,,,,
NMS-2012,60.0,16.0,Low,Claytonia perfoliata,,,,
NMS-2012,64.0,20.0,Low,Claytonia perfoliata,,,,
NMS-2012,64.0,12.0,Low,Claytonia perfoliata,,,,
NMS-2012,68.0,20.0,Low,Claytonia perfoliata,,,,
NMS-2012,68.0,24.0,Low,Claytonia perfoliata,,,,
SUDO-2012,7.0,35.0,L,Claytonia perfoliata,,,,
NUWO-2012,1.0,60.0,Low,Claytonia Perfoliata,,,,
NMS-2011,32.0,7.0,Low,Conyza sp.,Native,Annual,COSP,Forb
NUWO-2010,6.0,182.0,Low,Conyza sp.,Native,Annual,COSP,Forb
NUWO-2010,11.0,32.0,Low,CUMA litter,Exotic,Perennial,CUMA,Tree
NUWO-2010,11.0,42.0,Low,CUMA litter,Exotic,Perennial,CUMA,Tree
NUWO-2010,11.0,87.0,Low,CUMA litter,Exotic,Perennial,CUMA,Tree
NUWO-2010,11.0,162.0,Low,CUMA litter,Exotic,Perennial,CUMA,Tree
NUWO-2010,16.0,47.0,Low,CUMA litter,Exotic,Perennial,CUMA,Tree
NUWO-2010,16.0,127.0,Low,CUMA litter,Exotic,Perennial,CUMA,Tree
NMS-2011,64.0,7.0,High,Cupressus macrocarpa,Exotic,Perennial,CUMA,Tree
NMS-2011,64.0,3.0,High,Cupressus macrocarpa,Exotic,Perennial,CUMA,Tree
NMS-2010,76.0,0.0,High,Cupressus macrocarpa,Exotic,Perennial,CUMA,Tree
NMS-2010,76.0,4.0,High,Cupressus macrocarpa,Exotic,Perennial,CUMA,Tree
NMS-2010,76.0,8.0,High,Cupressus macrocarpa,Exotic,Perennial,CUMA,Tree
NMS-2010,80.0,0.0,High,Cupressus macrocarpa,Exotic,Perennial,CUMA,Tree
NMS-2010,80.0,4.0,High,Cupressus macrocarpa,Exotic,Perennial,CUMA,Tree
NMS-2010,80.0,8.0,High,Cupressus macrocarpa,Exotic,Perennial,CUMA,Tree
NUWO-2010,1.0,7.0,Medium,Cupressus macrocarpa,Exotic,Perennial,CUMA,Tree
NUWO-2010,1.0,42.0,High,Cupressus macrocarpa,Exotic,Perennial,CUMA,Tree
NUWO-2010,1.0,47.0,High,Cupressus macrocarpa,Exotic,Perennial,CUMA,Tree
NUWO-2012,9.0,25.0,SH,Cupressus macrocarpa,Exotic,Perennial,CUMA,Tree
